RunNumber,1,
ChamberName,Position,Flowmeter(l/h)
GE1/1-X-L-CERN-0001,1/1/B,5
GE1/1-X-L-CERN-0002,1/1/T,5
GE1/1-X-L-CERN-0003,2/1/B,5
GE1/1-X-L-CERN-0004,2/1/T,5
GE1/1-X-L-CERN-0005,3/1/B,5
GE1/1-X-L-CERN-0006,3/1/T,5
GE1/1-X-L-CERN-0007,4/1/B,5
GE1/1-X-L-CERN-0008,4/1/T,5
GE1/1-X-L-CERN-0009,5/1/B,5
GE1/1-X-L-CERN-0010,5/1/T,5
GE1/1-X-L-CERN-0011,1/2/B,5
GE1/1-X-L-CERN-0012,1/2/T,5
GE1/1-X-L-CERN-0013,2/2/B,5
GE1/1-X-L-CERN-0014,2/2/T,5
GE1/1-X-L-CERN-0015,3/2/B,5
GE1/1-X-L-CERN-0016,3/2/T,5
GE1/1-X-L-CERN-0017,4/2/B,5
GE1/1-X-L-CERN-0018,4/2/T,5
GE1/1-X-L-CERN-0019,5/2/B,5
GE1/1-X-L-CERN-0020,5/2/T,5
GE1/1-X-L-CERN-0021,1/3/B,5
GE1/1-X-L-CERN-0022,1/3/T,5
GE1/1-X-L-CERN-0023,2/3/B,5
GE1/1-X-L-CERN-0024,2/3/T,5
GE1/1-X-L-CERN-0025,3/3/B,5
GE1/1-X-L-CERN-0026,3/3/T,5
GE1/1-X-L-CERN-0027,4/3/B,5
GE1/1-X-L-CERN-0028,4/3/T,5
GE1/1-X-L-CERN-0029,5/3/B,5
GE1/1-X-L-CERN-0030,5/3/T,5
